,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
93,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 13 hours to complete,https://www.coursera.org/learn/wharton-accounting,,,,,,,,
94,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 2 of 7 in the,English,Beginner Level,https://www.coursera.org/learn/marketing-digital,,,,,,,
95,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 36 hours to complete,https://www.coursera.org/learn/wind-energy,,,,,,,,
96,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Intermediate Level,https://www.coursera.org/learn/sustainable-finance,,,,,,,,
97,Week 3: Classification,Shareable Certificate,100% online courses,Flexible Schedule,Intermediate Level,Approximately 7 months to complete,English,https://www.coursera.org/learn/financial-engineering-1,,,,,,,
98,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 19 hours to complete,https://www.coursera.org/learn/philosophy,,,,,,,,
99,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 5 in the,English,Approx. 8 hours to complete,https://www.coursera.org/learn/analytics-business-metrics,,,,,,,
100,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 5 in the,English,Beginner Level,https://www.coursera.org/learn/python-basics,,,,,,,
101,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 25 hours to complete,https://www.coursera.org/learn/sustainability,,,,,,,,
102,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 20 hours to complete,https://www.coursera.org/learn/positive-psychiatry,,,,,,,,
103,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 23 hours to complete,https://www.coursera.org/learn/crypto,,,,,,,,
104,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/teach-online,,,,,,,,
105,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 5 of 5 in the,English,Beginner Level,https://www.coursera.org/learn/it-security,,,,,,,
106,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,French,Beginner Level,https://www.coursera.org/learn/entreprise-changement-climatique,,,,,,,,
107,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Beginner Level,https://www.coursera.org/learn/neuromarketing,,,,,,,,
108,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,English,Approx. 17 hours to complete,https://www.coursera.org/learn/gamification,,,,,,,,
109,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 1 of 4 in the,English,Intermediate Level,https://www.coursera.org/learn/algorithms-divide-conquer,,,,,,,
110,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Spanish,Beginner Level,https://www.coursera.org/learn/contabilidad,,,,,,,,
111,Week 3: Classification,Flexible deadlines,Shareable Certificate,100% online,Course 2 of 6 in the,English,Beginner Level,https://www.coursera.org/learn/python-operating-system,,,,,,,
