,rating,url
1371,Rating: 4.7 out of 5,https://www.udemy.com/stationery/
1372,Rating: 4.2 out of 5,https://www.udemy.com/be-a-successful-logo-designer/
1373,Rating: 4.0 out of 5,https://www.udemy.com/the-logo-design-process-from-start-to-finish/
1374,Rating: 3.7 out of 5,https://www.udemy.com/logo-design-with-inkscape-for-free/
1375,https://www.udemy.com/typography-crash-course/,
1376,Rating: 4.3 out of 5,https://www.udemy.com/how-to-sell-your-art-online-on-etsy/
1377,Rating: 4.3 out of 5,https://www.udemy.com/freelancing-career-in-photoshop-design/
1378,"Classificação: 4,9 de 5",https://www.udemy.com/curso-de-photoshop-composicao-bombeiros/
1379,Rating: 4.4 out of 5,https://www.udemy.com/photoshop-illustrator-indesign-graphic-design-principles/
1380,"Classificação: 4,5 de 5",https://www.udemy.com/como-fazer-retoque-de-pele-profissional-em-10-passos/
1381,"Classificação: 4,9 de 5",https://www.udemy.com/indesign-como-criar-layouts-pecas-graficas/
1382,"Calificación: 4,6 de 5",https://www.udemy.com/felinu-primeros-pasos-con-photoshop/
1383,Rating: 4.3 out of 5,https://www.udemy.com/como-disenar-logos/
1384,"Calificación: 4,2 de 5",https://www.udemy.com/adobe-photoshop-curso-practico/
1385,alerta de aviso,https://www.udemy.com/photoshop-avancado-pos-producao-e-fusao-com-3d/
1386,"Classificação: 4,5 de 5",https://www.udemy.com/abc-do-adobe-illustrator/
1387,information alert,https://www.udemy.com/photoshop-g/
1388,"Bewertung: 4,9 von 5",https://www.udemy.com/realistisch-zeichnen-lernen-augen/
1389,評価: 4.2（5段階中）,https://www.udemy.com/photoshop-x/
1390,Rating: 4.4 out of 5,https://www.udemy.com/professional-logo-design-crash-course/
1391,Rating: 4.0 out of 5,https://www.udemy.com/learn-uiux-and-mobile-app-design-in-photoshop-from-scratch/
1392,Rating: 4.3 out of 5,https://www.udemy.com/photoshop-tricks-tips-and-techniques/
1393,warning alert,https://www.udemy.com/mastering-retina-graphics/
1394,Rating: 4.6 out of 5,https://www.udemy.com/start-making-comics/
1395,Rating: 4.6 out of 5,https://www.udemy.com/flat-design-flat-ui-design-flat-colors-flat-design-desert-island/
1396,Rating: 4.2 out of 5,https://www.udemy.com/photoshop-quickstart-guide-to-digital-sketching/
1397,information alert,https://www.udemy.com/gestalt-principles-surface-pattern-design-create-festive-pattern/
1398,Rating: 4.7 out of 5,https://www.udemy.com/logo-design-photoshop/
1399,information alert,https://www.udemy.com/advanced-features-in-adobe-illustrator/
1400,Rating: 4.9 out of 5,https://www.udemy.com/paint-a-mixed-media-girl/
1401,Rating: 4.2 out of 5,https://www.udemy.com/photoshop-gimp-spotlight-top-image-hacks-you-need-to-know/
1402,Rating: 4.1 out of 5,https://www.udemy.com/learn-photoshop-cc-essentials/
1403,Rating: 3.8 out of 5,https://www.udemy.com/mobile-app-design-from-beginner-to-intermediate/
1404,warning alert,https://www.udemy.com/text-based-logo-design-using-adobe-photoshop/
1405,https://www.udemy.com/graphic-design-for-entrepreneurs/,
1406,information alert,https://www.udemy.com/design-flat-business-cards-in-powerpoint/
1407,information alert,https://www.udemy.com/adobe-how-to-create-a-professional-video-title-or-web-banner/
1408,Rating: 4.2 out of 5,https://www.udemy.com/letterheaddesign/
1409,Rating: 4.4 out of 5,https://www.udemy.com/graphic-design-secrets/
1410,warning alert,https://www.udemy.com/illustratorsupercourse/
1411,Rating: 4.5 out of 5,https://www.udemy.com/flat-icon-design-powerpoint/
1412,https://www.udemy.com/logo-design-inkscape/,
1413,Rating: 4.6 out of 5,https://www.udemy.com/digital-illustration-with-illustrator-and-photoshop/
1414,Rating: 4.4 out of 5,https://www.udemy.com/create-an-abstract-background/
1415,Rating: 4.1 out of 5,https://www.udemy.com/the-art-of-icon-design-create-custom-flat-icon-designs/
1416,Rating: 4.6 out of 5,https://www.udemy.com/design-tickets-and-vouchers-in-photoshop-and-illustrator/
1417,information alert,https://www.udemy.com/blender-modelling-series-volume-two-master-object-mode/
1418,Rating: 4.3 out of 5,https://www.udemy.com/master-adobe-photoshop-lightroom-cc-from-beginner-to-advan/
1419,Rating: 3.8 out of 5,https://www.udemy.com/t-shirt-design-from-beginner-to-expert-using-photoshop/
1420,Rating: 4.5 out of 5,https://www.udemy.com/digital-painting-for-cartoon-characters/
1421,Rating: 3.8 out of 5,https://www.udemy.com/learn-how-to-create-animated-gif-advertising-banners-in-photoshop-cc/
1422,information alert,https://www.udemy.com/play-doh-technique/
1423,Rating: 4.2 out of 5,https://www.udemy.com/photo-manipulation-master-photo-editing/
1424,Rating: 4.8 out of 5,https://www.udemy.com/how-to-create-flat-design-interface-icons-in-illustrator/
1425,information alert,https://www.udemy.com/adobe-create-a-professional-logo-step-by-step-beauty/
1426,Rating: 4.5 out of 5,https://www.udemy.com/pen-tool/
1427,Rating: 4.0 out of 5,https://www.udemy.com/adobe-after-effect-morph-anything/
1428,information alert,https://www.udemy.com/the-basics-of-after-effects/
1429,warning alert,https://www.udemy.com/learn-adobe-illustrator-cc-all-essentials-in-1-hour/
