name,institution,is_university,level,students,rating,first_review_on
the power of macroeconomics: economic principles in the real world,"university of california, irvine",1,mixed,180000,4.6,2015-08-08
corporate sustainability. understanding and seizing the strategic opportunity,università bocconi,1,mixed,10000,4.6,2018-04-16
behavioral finance,duke university,1,mixed,55000,4.1,2016-08-02
"sequences, time series and prediction",deeplearning.ai,0,-,0,4.5,2019-07-31
supply chain logistics,rutgers the state university of new jersey,1,beginner,66000,4.7,2016-09-04
project execution,"university of california, irvine",1,beginner,70000,3.9,2017-12-21
nutrición y obesidad: control de sobrepeso,universidad nacional autónoma de méxico,1,beginner,100000,4.8,2019-01-04
microeconomics principles,university of illinois at urbana-champaign,1,beginner,73000,4.8,2016-06-21
creative writing: the craft of plot,wesleyan university,1,mixed,120000,4.7,2016-02-07
astronomy: exploring time and space,university of arizona,1,-,0,4.9,2015-08-20
oil & gas industry operations and markets,duke university,1,mixed,57000,4.8,2016-01-07
design thinking for innovation,university of virginia,1,beginner,240000,4.7,2015-10-27
edivet: do you have what it takes to be a veterinarian?,the university of edinburgh,1,-,0,4.7,2015-08-15
learn to program: the fundamentals,university of toronto,1,beginner,180000,4.7,2016-09-29
financial accounting fundamentals,university of virginia,1,beginner,65000,4.8,2017-04-21
finding purpose and meaning in life: living for what matters most,university of michigan,1,beginner,36000,4.8,2020-04-21
understanding clinical research: behind the statistics,university of cape town,1,mixed,78000,4.8,2015-12-02
epidemiology: the basic science of public health,the university of north carolina at chapel hill,1,mixed,130000,4.7,2015-08-08
fashion as design,the museum of modern art,0,beginner,180000,4.8,2017-09-30
teamwork skills: communicating effectively in groups,university of colorado boulder,1,beginner,49000,4.8,2017-07-31
feminism and social justice,"university of california, santa cruz",1,beginner,18000,4.8,2019-03-12
international organizations management,university of geneva,1,beginner,20000,4.8,2018-05-21
marketing digital,universidade de são paulo,1,beginner,81000,4.8,2018-04-02
fundamentals of gis,"university of california, davis",1,beginner,86000,4.9,2016-02-22
e-learning ecologies: innovative approaches to teaching and learning for the digital age,university of illinois at urbana-champaign,1,mixed,17000,4.5,2016-11-17
"excel/vba for creative problem solving, part 1",university of colorado boulder,1,beginner,54000,4.9,2017-12-31
rethinking international tax law,universiteit leiden,0,mixed,36000,4.8,2015-11-20
introduction to probability and data with r,duke university,1,-,0,4.6,2016-04-13
understanding and visualizing data with python,university of michigan,1,beginner,30000,4.6,2018-12-31
fundamentals of visualization with tableau,"university of california, davis",1,beginner,81000,4.4,2016-08-24
getting started with sas programming,sas,1,beginner,22000,4.9,2018-11-12
machine learning for all,university of london,1,beginner,19000,4.7,2019-12-09
using databases with python,university of michigan,1,mixed,220000,4.7,2015-12-14
addiction treatment: clinical skills for healthcare providers,yale university,1,beginner,9200,4.9,2020-01-18
dino 101: dinosaur paleobiology,university of alberta,1,beginner,35000,4.9,2016-09-18
sports marketing,northwestern university,1,intermediate,12000,4.7,2018-12-09
positive psychology,the university of north carolina at chapel hill,1,mixed,180000,4.7,2015-08-14
introduction to programming with matlab,vanderbilt university,1,beginner,270000,4.8,2016-04-30
preparing to manage human resources,university of minnesota,1,mixed,68000,4.9,2016-02-12
solar energy basics,the state university of new york,1,beginner,17000,4.8,2019-06-25
front-end web ui frameworks and tools: bootstrap 4,the hong kong university of science and technology,1,intermediate,89000,4.8,2017-07-01
building scalable java microservices with spring boot and spring cloud,google cloud,0,intermediate,24000,4.0,2019-02-27
introduction to forensic science,"nanyang technological university, singapore",1,mixed,47000,4.8,2016-06-30
google cloud product fundamentals,google cloud,0,-,0,4.7,2020-03-06
american contract law i,yale university,1,beginner,18000,4.8,2019-01-31
engineering health: introduction to yoga and physiology,new york university,1,beginner,14000,4.6,2019-10-07
ai for medical diagnosis,deeplearning.ai,0,intermediate,12000,4.6,2020-04-16
natural language processing with sequence models,deeplearning.ai,0,-,0,4.0,2020-07-29
introduction to electronics,georgia institute of technology,1,mixed,110000,4.7,2016-05-31
international humanitarian law in theory and practice,universiteit leiden,0,-,0,4.8,2018-11-28
making architecture,ie school of architecture & design,1,beginner,43000,4.8,2016-10-05
model thinking,university of michigan,1,mixed,130000,4.8,2015-10-07
supporting children with difficulties in reading and writing,university of london,1,-,0,4.8,2015-09-03
innovation management,erasmus university rotterdam,1,beginner,40000,4.7,2016-04-23
the manager's toolkit: a practical guide to managing people at work,"birkbeck, university of london",1,mixed,47000,4.7,2016-08-17
"the modern world, part one: global history from 1760 to 1910",university of virginia,1,beginner,130000,4.8,2015-08-28
supply chain principles,georgia institute of technology,1,mixed,29000,4.6,2017-04-25
essential google cloud infrastructure: core services,google cloud,0,intermediate,68000,4.7,2017-07-06
weight management: beyond balancing calories,emory university,1,beginner,34000,4.8,2019-03-19
miracles of human language: an introduction to linguistics,universiteit leiden,0,beginner,120000,4.7,2016-05-09
java programming: solving problems with software,duke university,1,beginner,160000,4.5,2015-10-16
race and cultural diversity in american life and history,university of illinois at urbana-champaign,1,-,0,4.4,2018-02-08
inspiring and motivating individuals,university of michigan,1,mixed,85000,4.8,2015-09-15
"competencias digitales. herramientas de ofimática (microsoft word, excel, power point)",universitat autònoma de barcelona,0,beginner,43000,4.8,2019-07-02
healing with the arts,university of florida,1,mixed,39000,4.7,2017-03-02
people analytics,university of pennsylvania,1,mixed,84000,4.5,2015-12-09
