name,is_paid,price,students,num_lectures,level,content_duration,total_effort,published_on,subject,is_online,rating
non directional weekly options trading system - etf & emini,True,200,897,21,mixed,2.0,6.0,2016-05-24,business finance,1,4.6
the complete position trading course: position trading stock,True,45,1311,5,mixed,1.0,3.0,2016-01-15,business finance,0,
master iron condors - double the credit for half the risk,True,60,1338,7,expert,1.0,3.0,2013-03-02,business finance,1,3.9
basics of investing in mutual funds,True,20,1589,42,intermediate,1.5,4.5,2015-03-03,business finance,1,3.9
a value investing approach to the stock market,True,20,1189,15,mixed,1.5,4.5,2015-02-19,business finance,1,3.6
learn how to invest for huge profits or make it big trading!,True,50,701,37,mixed,5.5,16.5,2015-06-19,business finance,1,3.9
"how to fund your million dollar idea: equity, debt, unfund",True,50,1105,54,intermediate,6.0,18.0,2015-02-11,business finance,1,4.6
mastering candlestick charting : high probability trading,True,50,123,35,mixed,2.0,6.0,2015-09-22,business finance,0,
binary options course - level 2,False,0,5874,9,intermediate,2.0,6.0,2014-06-26,business finance,0,
stock technical analysis with r,True,50,354,49,mixed,7.0,21.0,2016-03-18,business finance,0,
"get to know the vix index (aka 'the fear index)""",True,60,727,9,mixed,1.0,3.0,2013-03-08,business finance,1,4.4
apply finance concepts for smart project management,False,0,3465,24,beginner,2.0,6.0,2016-02-23,business finance,1,4.1
introduction to futures trading and live trade demonstration,True,60,54,6,expert,0.7166666666666667,2.15,2017-05-24,business finance,1,4.1
crowdfunding to win,True,40,627,15,mixed,1.5,4.5,2015-09-23,business finance,1,4.4
comprehensive forex mastery program,True,45,650,97,mixed,10.0,30.0,2013-02-07,business finance,1,4.5
preparation of consolidated financial statements (basic),False,0,965,18,intermediate,1.5,4.5,2017-06-28,business finance,1,4.3
succeed in bonds even if you don't know where to start,True,200,1113,8,mixed,1.0,3.0,2017-02-03,business finance,1,
learn to trade for profit: ten most profitable trading rules,True,95,739,45,mixed,2.0,6.0,2014-12-23,business finance,1,4.6
succeed in lotto even if you don't know where to start!,True,20,1201,18,mixed,1.5,4.5,2017-05-11,business finance,1,3.7
cfa corporate finance level 2,True,50,2474,128,mixed,17.5,52.5,2015-07-07,business finance,1,3.8
pin bars: the most powerful forex trading signal,True,200,494,19,mixed,1.0,3.0,2016-08-10,business finance,0,
stock options trades using interactive brokers,True,95,1580,14,intermediate,1.0,3.0,2015-09-07,business finance,0,
introduction to options - strategies for consistent profits,True,40,617,55,mixed,4.5,13.5,2015-08-16,business finance,1,4.6
risk in forex transactions - for ca / cs / cfa exams,True,20,2235,9,mixed,1.0,3.0,2015-09-29,business finance,1,
basics of business statistics (college level),True,20,2293,28,mixed,2.0,6.0,2015-01-06,business finance,1,
"trading seasonal price patterns in stocks, futures, & forex!",True,200,1094,13,beginner,2.0,6.0,2016-03-30,business finance,1,3.6
interpreting financial statements,True,20,1449,23,beginner,1.5,4.5,2013-06-06,business finance,1,3.9
introduction to bookkeeping (accounting),True,20,3251,59,beginner,12.0,36.0,2014-01-31,business finance,1,3.6
credit spread surgery - bear call and bull put mastery,True,60,607,16,intermediate,2.0,6.0,2013-03-05,business finance,1,4.1
investment banking: how to land a job on wall street,True,75,1218,63,mixed,3.5,10.5,2015-06-11,business finance,0,
learn to invest in index funds and etfs in 7 easy steps,True,20,1132,18,mixed,1.0,3.0,2015-07-20,business finance,1,4.1
financial modeling: build a multiples valuation model,True,20,656,20,mixed,1.5,4.5,2016-05-30,business finance,1,3.6
trade recap i - a real look at futures options markets,True,20,3339,11,beginner,1.5,4.5,2014-02-17,business finance,1,
advanced stock options for serious equity investors!,True,200,1271,7,expert,1.5,4.5,2015-09-22,business finance,1,3.6
trading binary options for fun and profit,True,20,1574,46,mixed,2.0,6.0,2015-02-21,business finance,0,
cfa: fast track your career in finance,True,20,1393,21,beginner,2.0,6.0,2015-09-29,business finance,1,
how to be a profitable forex trader,True,20,1029,7,mixed,0.6833333333333333,2.05,2016-05-04,business finance,1,4.3
excel dashboard - interactive excel dashboard and charts,True,30,843,34,mixed,3.0,9.0,2015-03-19,business finance,1,4.3
accounting 101: learn business finance forecasting in 60mins,True,95,1730,12,mixed,1.5,4.5,2014-07-24,business finance,1,4.3
the securities trade lifecycle,True,50,1182,22,mixed,4.0,12.0,2014-03-12,business finance,1,4.3
double your forex account using the magic ma trading robot,True,65,1160,24,intermediate,2.5,7.5,2014-12-10,business finance,1,4.7
technical analysis 101: how to profit during market crashes,True,95,1730,53,mixed,2.0,6.0,2016-01-27,business finance,1,
advanced accounting for investment banking,True,50,1260,38,intermediate,4.0,12.0,2014-10-01,business finance,1,4.7
investing in stocks with 10 simple rules,True,95,871,59,mixed,2.0,6.0,2015-06-16,business finance,0,
venture capital. what is it and why it matters to you!,True,50,1566,25,mixed,2.5,7.5,2015-10-14,business finance,0,
cash flow valuation: develop your financial literacy,True,105,2987,19,mixed,2.0,6.0,2014-12-22,business finance,1,4.5
direction-independ trading - elite forex traders  strategy,True,120,973,28,mixed,2.5,7.5,2016-06-21,business finance,1,4.0
how to become a financial analyst from scratch!,True,40,2177,38,beginner,5.0,15.0,2015-07-07,business finance,1,4.4
first steps to trading the forexmarkets : technical analysis,True,35,1772,15,beginner,3.5,10.5,2016-01-08,business finance,1,
financial analysis: compare performance of companies,True,20,1850,20,mixed,1.0,3.0,2015-06-01,business finance,1,4.1
forex for beginners: easy forex trading for beginners,False,0,1780,9,beginner,1.0,3.0,2017-05-18,business finance,1,4.1
investment crowdfunding 101 (a.k.a equity crowdfunding),False,0,4607,11,beginner,0.5333333333333333,1.6,2016-05-17,business finance,1,
read financial statements like a pro,True,50,12,38,intermediate,4.0,12.0,2015-03-02,business finance,0,
10 numbers every business owner should know,True,20,13,9,mixed,1.0,3.0,2015-03-08,business finance,1,
learn how to trade gold in 2017,True,200,2,16,mixed,1.0,3.0,2017-04-06,business finance,0,
ias 18 - revenue,False,0,2571,23,mixed,4.5,13.5,2014-03-29,business finance,1,
forex trading: the high roi forex trading end of day course,True,125,8,19,intermediate,2.5,7.5,2014-06-16,business finance,1,
fundraise the simplified way: a crowdfunding blueprint,True,35,7,19,mixed,1.0,3.0,2015-02-23,business finance,0,
fundamentals of accounting for business owners,True,20,217,47,beginner,2.5,7.5,2017-02-06,business finance,1,4.8
practical financial statement analysis,True,75,22,45,mixed,4.5,13.5,2017-05-01,business finance,1,3.6
forex management - detailed study for ca / cs / cfa exams,True,50,131,38,mixed,3.0,9.0,2015-11-03,business finance,1,
financial statement review 101:  how to find errors,True,30,5,15,beginner,2.0,6.0,2017-02-03,business finance,0,
